id,item,group,type,position,NP1,sent,NP2,main verb,sentence,question,ans1,ans2,ans3,ans4,target_ver,target_nonver,distractor_ver,distractor_nonver,condition
216,37,X,sem,subject,The songwriter,ordered,the pianist,to play the new song.,The songwriter ordered the pianist to play the new song.,Who ordered?,the songwriter,the songwriters,the pianist,the pianists,1,2,3,4,sem_subject
217,38,X,unrel,modifier,The barber,of,the comedian,cleaned up the mess.,The barber of the comedian cleaned up the mess.,Who cleaned up?,the comedian,the comedians,the barber,the barbers,3,4,1,2,unrel_modifier
218,39,X,sem,subject,The sculptor,urged,the illustrator,to revise the latest work.,The sculptor urged the illustrator to revise the latest work.,Who urged?,the sculptor,the sculptors,the illustrator,the illustrators,1,2,3,4,sem_subject
219,40,X,sem,modifier,The replacement,of,the instructors,drove very cautiously towards home.,The replacement of the instructors drove very cautiously towards home.,Who drove?,the instructor,the instructors,the replacement,the replacements,3,4,1,2,sem_modifier
220,41,X,unrel,subject,The admiral,sought,the bartender,for advice about the plans.,The admiral sought the bartender for advice about the plans.,Who sought advice?,the admiral,the admirals,the bartender,the bartenders,1,2,3,4,unrel_subject
221,42,X,unrel,subject,The camper,encouraged,the pupils,to jump in the pool.,The camper encouraged the pupils to jump in the pool.,Who encouraged?,the pupil,the pupils,the camper,the campers,3,4,1,2,unrel_subject
222,43,X,unrel,modifier,The sisters,of,the owner,encouraged him to dance.,The sisters of the owner encouraged him to dance.,Who was encouraged?,the owner,the owners,the sister,the sisters,1,2,3,4,unrel_modifier
223,44,X,sem,modifier,The partner,of,the detective,told him not to shout.,The partner of the detective told him not to shout.,Who was shouting?,the detective,the detectives,the partner,the partners,1,2,3,4,sem_modifier
224,45,X,unrel,modifier,The relatives,of,the actress,were distraught upon her death.,The relatives of the actress were distraught upon her death.,Who died?,the actress,the actresses,the relative,the relatives,1,2,3,4,unrel_modifier
225,46,X,sem,modifier,The secretaries,of,the dean,were stressed about his recent proposal.,The secretaries of the dean were stressed about his recent proposal.,Who proposed?,the dean,the deans,the secretary,the secretaries,1,2,3,4,sem_modifier
226,47,X,sem,modifier,The collaborators,of,the academic,were furious because of the mistake she made.,The collaborators of the academic were furious because of the mistake she made.,Who made a mistake?,the academic,the academics,the collaborator,the collaborators,2,1,4,3,sem_modifier
227,48,X,sem,modifier,The associates,of,the lecturer,waited impatiently for his talk to end.,The associates of the lecturer waited impatiently for his talk to end.,Who gave a talk?,the associate,the associates,the lecturer,the lecturers,3,4,1,2,sem_modifier
228,49,X,unrel,subject,The shaman,liked that,the gargoyle,grew fast last year.,The shaman liked that the gargoyle grew fast last year.,Who liked?,the gargoyle,the gargoyles,the shaman,the shamans,3,4,1,2,unrel_subject
229,50,X,unrel,subject,The boogeyman,requested that,the hackers,help with the problem.,The boogeyman requested that the hackers help with the problem.,Who requested?,the boogeyman,the boogeymen,the hacker,the hackers,1,2,3,4,unrel_subject
230,51,X,unrel,subject,The pegasus,scolded,the mummies,for running in the courthouse.,The pegasus scolded the mummies for running in the courthouse.,Who scolded?,the pegasus,the pegasuses,the mummy,the mummies,1,2,3,4,unrel_subject
231,52,X,unrel,subject,The bigfoot,instructed,the technician,to fix the gas leak.,The bigfoot instructed the technician to fix the gas leak.,Who instructed?,the bigfoot,the bigfoots,the technician,the technicians,1,2,3,4,unrel_subject
232,53,X,sem,subject,The martian,challenged,the astronaut,to drink excessively.,The martian challenged the astronaut to drink excessively.,Who challenged?,the martian,the martians,the astronaut,the astronauts,1,2,3,4,sem_subject
233,54,X,unrel,subject,The griffin,reminded,the receptionist,to call the guest.,The griffin reminded the receptionist to call the guest.,Who reminded?,the griffin,the griffins,the receptionist,the receptionists,1,2,3,4,unrel_subject
234,55,X,sem,modifier,The skippers,of,the pirate,rowed tirelessly as he shouted.,The skippers of the pirate rowed tirelessly as he yelled.,Who yelled?,the pirate,the pirates,the skipper,the skippers,1,2,3,4,sem_modifier
235,56,X,sem,modifier,The guitarists,of,the ghoul,gossiped about him after the concert.,The guitarists of the ghoul gossiped about him after the concert.,Who was gossiped about?,the guitarist,the guitarists,the ghoul,the ghouls,3,4,1,2,sem_modifier
236,57,X,unrel,modifier,The godfather,of,the samurai,visited him right after the hearing.,The godfather of the samurai visited him right after the hearing.,Who was visited?,the godfather,the godfathers,the samurai,the samurais,3,4,1,2,unrel_modifier
237,58,X,unrel,modifier,The protector,of,the duchess,watched her ride the horse.,The protector of the duchess watched her ride the horse.,Who rode the horse?,the protector,the protectors,the duchess,the duchesses,3,4,1,2,unrel_modifier
238,59,X,unrel,modifier,The aunt,of,the prince,disagreed with him.,The aunt of the prince disagreed with him.,Who was disagreed with?,the aunt,the aunts,the prince,the princes,1,2,3,4,unrel_modifier
239,60,X,sem,modifier,The guardian,of,the phoenix,fell asleep watching him.,The guardian of the phoenix fell asleep watching him.,Who was watched?,the guardian,the guardians,the phoenix,the phoenixes,3,4,1,2,sem_modifier
240,61,X,sem,modifier,The coaches,of,the players,were disappointed by their performance.,The coaches of the players were disappointed by their performance.,Who was disappointed?,the player,the players,the coach,the coaches,4,3,2,1,sem_modifier
241,62,X,sem,modifier,The photographers,of,the models,slept before the fashion show.,The photographers of the models slept before the fashion show.,Who slept?,the model,the models,the photographer,the photographers,4,3,2,1,sem_modifier
242,63,X,sem,modifier,The producers,of,the filmmaker,were frustrated.,The producers of the filmmaker were frustrated.,Who was frustrated?,the producer,the producers,the filmmaker,the filmmakers,2,1,4,3,sem_modifier
243,64,X,sem,modifier,The husbands,of,the wives,talked about the divorce.,The husbands of the wives talked about the divorce.,Who talked about the divorce?,the husband,the husbands,the wife,the wives,2,1,4,3,sem_modifier
244,65,X,unrel,subject,The chefs,loved that,the vikings,danced all night long.,The chefs loved that the vikings danced all night long.,Who loved?,the viking,the vikings,the chef,the chefs,4,3,2,1,unrel_subject
245,66,X,unrel,subject,The singers,found,the healer,lying down before the show.,The singers found the healer lying down before the show.,Who found?,the singer,the singers,the healer,the healers,2,1,4,3,unrel_subject
246,67,X,unrel,subject,The bats,complained about,the goat,running away when it got warm.,The bats complained about the goat running away when it got warm.,Who complained?,the bat,the bats,the goat,the goats,2,1,4,3,unrel_subject
247,68,X,unrel,subject,The surgeons,recommended that,the magician,rest after his injury.,The surgeons recommended that the magician rest after his injury.,Who recommended?,the magician,the magicians,the surgeon,the surgeons,4,3,2,1,unrel_subject
248,69,X,sem,subject,The bishops,thought that,the knight,was repenting for his horrible sins.,The bishops thought that the knight was repenting for his horrible sins.,Who thought?,the knight,the knights,the bishop,the bishops,4,3,2,1,sem_subject
249,70,X,sem,subject,The wizards,hoped that,the witch,came quickly for the evacuation.,The wizards hoped that the witch came quickly for the evacuation.,Who hoped?,the witch,the witches,the wizard,the wizards,4,3,2,1,sem_subject
250,71,X,sem,subject,The reapers,asked that,the gypsy,follow closely up the hill.,The reapers asked that the gypsy follow closely up the hill.,Who asked that?,the gypsy,the gypsies,the reaper,the reapers,4,3,2,1,sem_subject
251,72,X,unrel,subject,The ghouls,asked,the conductor,to move to the left.,The ghouls asked the conductor to move to the left.,Who asked?,the ghoul,the ghouls,the conductor,the conductors,2,1,4,3,unrel_subject
252,73,X,unrel,subject,The snakes,caught,the donor,stealing from the hotel bar.,The snakes caught the donor stealing from the hotel bar.,Who caught?,the donor,the donors,the snake,the snakes,4,3,2,1,unrel_subject
253,74,X,unrel,subject,The humanoids,persuaded,the performers,to join the new screenplay.,The humanoids persuaded the performers to join the new screenplay.,Who persuaded?,the humanoid,the humanoids,the performer,the performers,2,1,4,3,unrel_subject
254,75,X,sem,subject,The fauns,invited,the librarian,to read the latest book.,The fauns invited the librarian to read the latest book.,Who invited?,The fauns,The faun,the librarian,the librarians,1,2,3,4,sem_subject
255,76,X,sem,subject,The nuns,listened to,the prophets,pray endlessly during the night.,The nuns listened to the prophets pray endlessly during the night.,Who listened?,the nun,the nuns,the prophet,the prophets,2,1,4,3,sem_subject
256,77,X,unrel,subject,The valkyries,learnt that,the gymnast,was disqualified because of the steroids.,The valkyries learnt that the gymnast was disqualified because of the steroids.,Who learnt?,the gymnast,the gymnasts,the valkyrie,the valkyries,4,3,2,1,unrel_subject
257,78,X,sem,modifier,The beasts,of,the serpent,were upset because of the orders.,The beasts of the serpent were upset because of the orders.,Who was upset?,the beast,the beasts,the serpent,the serpents,2,1,4,3,sem_modifier
258,79,X,unrel,subject,The behemoths,consulted,the curator,about the war plans.,The behemoths consulted the curator about the war plans.,Who consulted?,the behemoth,the behemoths,the faun,the fauns,2,1,4,3,unrel_subject
259,80,X,unrel,modifier,The weasels,of,the physicist,were strolling at the park.,The weasels of the physicist were strolling at the park.,Who was strolling?,the physicist,the physicists,the weasel,the weasels,4,3,2,1,unrel_modifier
260,81,X,unrel,modifier,The bosses,of,the worker,were sweating because of the warmth.,The bosses of the worker were sweating because of the warmth.,Who was sweating?,the worker,the workers,the boss,the bosses,4,3,2,1,unrel_modifier
261,82,X,sem,modifier,The butlers,of,the duke,sat down on the ground.,The butlers of the duke sat down on the ground.,Who sat down?,the duke,the dukes,the butler,the butlers,4,3,2,1,sem_modifier
262,83,X,unrel,modifier,The sorcerers,of,the billionaire,were stuck without a solution.,The sorcerers of the billionaire were stuck without a solution.,Who was stuck?,the sorcerer,the sorcerers,the billionaire,the billionaires,2,1,4,3,unrel_modifier
263,84,X,unrel,subject,The artists,imagined,the giants,apologizing profusely for the confusion.,The artists imagined the giants apologizing profusely for the confusion.,Who apologized?,the giant,the giants,the artist,the artists,2,1,4,3,unrel_subject
264,85,X,sem,subject,The poet,insisted that,the dames,lied to enter the castle.,The poet insisted that the dames lied to enter the castle.,Who lied?,the dame,the dames,the poet,the poets,2,1,4,3,unrel_subject
265,86,X,sem,subject,The peasant,suspected that,the bandits,faltered during the testimony.,The peasant suspected that the bandits faltered during the testimony.,Who faltered?,the bandit,the bandits,the peasant,the peasants,2,1,4,3,sem_subject
266,87,X,sem,subject,The biologist,dreamt of,the clones,working diligently for a cure.,The biologist dreamt of the clones working diligently for a cure.,Who worked?,the clone,the clones,the biologist,the biologists,2,1,4,3,sem_subject
267,88,X,sem,subject,The outlaw,implied that,the cowboys,snitched to get the money.,The outlaw implied that the cowboys snitched to get the money.,Who snitched?,the cowboy,the cowboys,the outlaw,the outlaws,2,1,4,3,sem_subject
268,89,X,sem,subject,The hunter,watched,the archers,protesting for a full year.,The hunter watched the archers protesting for a full year.,Who protested?,the hunter,the hunters,the archer,the archers,4,3,2,1,sem_subject
269,90,X,sem,modifier,The siren,of,the sailors,kept calling them into the ocean.,The siren of the sailors kept calling them into the ocean.,Who was called?,the siren,the sirens,the sailor,the sailors,4,3,2,1,sem_modifier
270,91,X,unrel,modifier,The snake,of,the millionaires,was tired from the work they gave.,The snake of the millionaires was tired from the work they gave.,Who gave work?,the snake,the snakes,the millionaire,the millionaires,4,3,2,1,unrel_modifier
271,92,X,unrel,modifier,The lizard,of,the authors,was talking to them.,The lizard of the authors was talking to them.,Who was talked to?,the lizard,the lizards,the author,the authors,4,3,2,1,unrel_modifier
272,93,X,unrel,modifier,The roommates,of,the yeti,feared him.,The roommates of the yeti feared him.,Who feared?,the roommate,the roommates,the yeti,the yetis,2,1,4,3,unrel_modifier
273,94,X,unrel,modifier,The gremlins,of,the illustrators,scared them at night.,The gremlins of the illustrators scared them at night.,Who was scared?,the illustrator,the illustrators,the gremlin,the gremlins,2,1,4,3,unrel_modifier
274,95,X,sem,subject,The inventor,spoke of,the scientists,trying to be successful.,The inventor spoke of the scientists trying to be successful.,Who tried?,the scientist,the scientists,the inventor,the inventors,2,1,4,3,sem_subject
275,96,X,unrel,subject,The reporter,pestered,the witnesses,to answer the critical question.,The reporter pestered the witnesses to answer the critical question.,Who was pestered?,the witness,the witnesses,the reporter,the reporters,2,1,4,3,unrel_subject
276,97,X,sem,subject,The criminal,observed,the gangsters,eating at the restaurant.,The criminal observed the gangsters eating at the restaurant.,Who ate at the restaurant?,the criminal,the criminals,the gangster,the gangsters,4,3,2,1,sem_subject
277,98,X,sem,subject,The cyclists,fantasized about,the sprinters,failing in the important tournament.,The cyclists fantasized about the sprinters failing in the important tournament.,Who fantasized?,the sprinter,the sprinters,the cyclist,the cyclists,4,3,2,1,sem_subject
278,99,X,sem,subject,The solicitors,blamed,the barrister,for losing the important case.,The solicitors blamed the barrister for losing the important case.,Who blamed?,the solicitor,the solicitors,the barrister,the barristers,2,1,4,3,sem_subject
279,100,X,unrel,subject,The referees,wanted,the valet,to park behind the concert venue.,The referees wanted the valet to park behind the concert venue.,Who wanted?,the referee,the referees,the valet,the valets,2,1,4,3,unrel_subject
280,101,X,sem,subject,The goalkeepers,motivated,the strikers,to continue the rough season.,The goalkeepers motivated the strikers to continue the rough season.,Who motivated?,the goalkeeper,the goalkeepers,the striker,the strikers,2,1,4,3,sem_subject
281,102,X,sem,subject,The activists,taught,the volunteer,to help with the project.,The activists taught the volunteer to help with the project.,Who taught?,the activist,the activists,the volunteer,the volunteers,2,1,4,3,sem_subject
282,103,X,unrel,modifier,The cousin,of,the cooks,was shocked when they opened the restaurant.,The cousin of the cooks was shocked when they opened the restaurant.,Who opened the restaurant?,the cook,the cooks,the cousin,the cousins,2,1,4,3,unrel_modifier
283,104,X,unrel,modifier,The employer,of,the bakers,hung up upon their arrival.,The employer of the bakers hung up upon their arrival.,Who arrived?,the baker,the bakers,the employer,the employers,2,1,4,3,unrel_modifier
284,105,X,sem,modifier,The bodyguard,of,the celebrities,was exhausted after their rant.,The bodyguard of the celebrities was exhausted after their rant.,Who ranted?,the celebrity,the celebrities,the bodyguard,the bodyguards,2,1,4,3,sem_modifier
285,106,X,sem,modifier,The marshal,of,the commanders,was screaming as they marched forward.,The marshal of the commanders was screaming as they marched forward.,Who marched forward?,the marshal,the marshals,the commander,the commanders,2,1,4,3,sem_modifier
286,107,X,unrel,modifier,The girlfriends,of,the quarterbacks,screamed when they won.,The girlfriends of the quarterbacks screamed when they won.,Who won?,the girlfriend,the girlfriends,the quarterback,the quarterbacks,4,3,2,1,unrel_modifier
287,108,X,sem,modifier,The emperor,of,the warlords,was pleased by their victory.,The emperor of the warlords was pleased by their victory.,Who was victorious?,the emperor,the emperors,the warlord,the warlords,4,3,2,1,sem_modifier
288,109,X,sem,modifier,The goddess,of,the wretches,admitted that they struggled with the new tasks.,The goddess of the wretches admitted that they struggled with the new tasks.,Who struggled? ,the goddess,the goddesses,the wretch,the wretches,4,3,2,1,sem_modifier
289,110,X,unrel,modifier,The roommate,of,the yetis,feared them.,The roommate of the yetis feared them.,Who was feared of?,the roommate,the roommates,the yeti,the yetis,4,3,2,1,unrel_modifier
290,111,X,unrel,modifier,The toys,of,the children,argued with each other while they screamed.,The toys of the children argued with each other while they screamed.,Who screamed?,the child,the children,the toy,the toys,2,1,4,3,unrel_modifier
291,112,X,unrel,modifier,The uncle,of,the demons,mumbled to them about the old times.,The uncle of the demons mumbled to them about the old times.,Who was mumbled to?,the uncle,the uncles,the demon,the demons,4,3,2,1,unrel_modifier
292,113,X,unrel,modifier,The informant,of,the countesses,was listening to their requests.,The informant of the countesses was listening to their requests.,Who requested?,the informant,the informants,the countess,the countesses,4,3,2,1,unrel_modifier
293,114,X,sem,modifier,The warrior,of,the valkyries,betrayed them during the war.,The warrior of the valkyries betrayed them during the war.,Who was betrayed?,the warrior,the warriors,the valkyrie,the valkyries,4,3,2,1,sem_modifier
294,115,X,unrel,subject,The shaman,agreed that,the anthropologists,blabbed about the ongoing research.,The shaman agreed that the anthropologists blabbed about the ongoing research.,Who blabbed?,the anthropologist,the anthropologists,the shaman,the shamans,2,1,4,3,unrel_subject
295,116,X,unrel,subject,The priestess,punished,the jocks,for bullying the new kid.,The priestess punished the jocks for bullying the new kid.,Who bullied?,the priestess,the priestesses,the jock,the jocks,4,3,2,1,unrel_subject
296,117,X,unrel,subject,The oracles,expected,the analysts,to leave before the game.,The oracles expected the analysts to leave before the game.,Who left?,the analyst,the analysts,the oracle,the oracles,2,1,4,3,unrel_subject
297,118,X,unrel,modifier,The leaders,of,the immortals,swam in the lake.,The leaders of the immortals swam in the lake.,Who swam?,the leader,the leaders,the immortal,the immortals,2,1,4,3,unrel_modifier
298,119,X,unrel,modifier,The surfers,of,the basilisk,wept when no one returned.,The surfers of the basilisk wept when no one returned.,Who wept?,the surfer,the surfers,the basilisk,the basilisks,2,1,4,3,unrel_modifier
299,120,X,unrel,modifier,The contractors,of,the frankenstein,were annoyed with the result.,The contractors of the frankenstein were annoyed with the result.,Who was annoyed?,the contractor,the contractors,the frankenstein,the frankensteins,2,1,4,3,unrel_modifier
